Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ABW,Aruba,28150,FCV Typology - FCV,Value,,,,,,,,,,,,,0
ABW,Aruba,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,,0
ABW,Aruba,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,,1
ABW,Aruba,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,28150,FCV Typology - FCV,Value,,,,,,,,,,,,1,1
AFG,Afghanistan,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
AFG,Afghanistan,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,0,0
AFG,Afghanistan,28154,SIDS,Yes/No,,,,,,,,,,,,0,
AFG,Afghanistan,28156,Is this country on the FCV list?,Value,1,1,1,1,1,1,1,1,1,1,1,1,1
AFG,Afghanistan,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
AFG,Afghanistan,28167,Landlocked,Yes/No,,,,,,,,,,,,1,
AGO,Angola,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
AGO,Angola,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,1,1
AGO,Angola,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,0,0
AGO,Angola,28154,SIDS,Yes/No,,,,,,,,,,,,0,
AGO,Angola,28156,Is this country on the FCV list?,Value,1,1,1,1,1,1,1,1,0,0,0,0,0
AGO,Angola,28157,Is the country resource rich?,Value,,,,,,,,,,,,1,
AGO,Angola,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
ALB,Albania,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
ALB,Albania,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
ALB,Albania,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
ALB,Albania,28154,SIDS,Yes/No,,,,,,,,,,,,0,
ALB,Albania,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
ALB,Albania,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
AND,Andorra,28150,FCV Typology - FCV,Value,,,,,,,,,,,,,0
AND,Andorra,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,,0
AND,Andorra,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,,1
AND,Andorra,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,United Arab Emirates,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
ARE,United Arab Emirates,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
ARE,United Arab Emirates,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
ARE,United Arab Emirates,28154,SIDS,Yes/No,,,,,,,,,,,,0,
ARE,United Arab Emirates,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,United Arab Emirates,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
ARG,Argentina,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
ARG,Argentina,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
ARG,Argentina,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
ARG,Argentina,28154,SIDS,Yes/No,,,,,,,,,,,,0,
ARG,Argentina,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,Argentina,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
ARG,Argentina,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
ARM,Armenia,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
ARM,Armenia,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
ARM,Armenia,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
ARM,Armenia,28154,SIDS,Yes/No,,,,,,,,,,,,0,
ARM,Armenia,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
ARM,Armenia,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
ARM,Armenia,28167,Landlocked,Yes/No,,,,,,,,,,,,1,
ASM,American Samoa,28150,FCV Typology - FCV,Value,,,,,,,,,,,,,0
ASM,American Samoa,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,,0
ASM,American Samoa,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,,1
ASM,American Samoa,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
ATG,Antigua and Barbuda,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
ATG,Antigua and Barbuda,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
ATG,Antigua and Barbuda,28154,SIDS,Yes/No,,,,,,,,,,,,1,
ATG,Antigua and Barbuda,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
ATG,Antigua and Barbuda,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
AUS,Australia,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
AUS,Australia,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
AUS,Australia,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
AUS,Australia,28154,SIDS,Yes/No,,,,,,,,,,,,0,
AUS,Australia,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
AUS,Australia,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
AUT,Austria,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
AUT,Austria,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
AUT,Austria,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
AUT,Austria,28154,SIDS,Yes/No,,,,,,,,,,,,0,
AUT,Austria,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,Austria,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
AUT,Austria,28167,Landlocked,Yes/No,,,,,,,,,,,,1,
AZE,Azerbaijan,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
AZE,Azerbaijan,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
AZE,Azerbaijan,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
AZE,Azerbaijan,28154,SIDS,Yes/No,,,,,,,,,,,,0,
AZE,Azerbaijan,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,Azerbaijan,28157,Is the country resource rich?,Value,,,,,,,,,,,,1,
AZE,Azerbaijan,28167,Landlocked,Yes/No,,,,,,,,,,,,1,
BDI,Burundi,28150,FCV Typology - FCV,Value,,,,,,,,,,,,1,1
BDI,Burundi,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
BDI,Burundi,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,0,0
BDI,Burundi,28154,SIDS,Yes/No,,,,,,,,,,,,0,
BDI,Burundi,28156,Is this country on the FCV list?,Value,1,1,1,1,1,1,1,1,1,1,1,1,1
BDI,Burundi,28157,Is the country resource rich?,Value,,,,,,,,,,,,1,
BDI,Burundi,28167,Landlocked,Yes/No,,,,,,,,,,,,1,
BEL,Belgium,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
BEL,Belgium,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
BEL,Belgium,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
BEL,Belgium,28154,SIDS,Yes/No,,,,,,,,,,,,0,
BEL,Belgium,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
BEL,Belgium,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
BEL,Belgium,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
BEN,Benin,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
BEN,Benin,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
BEN,Benin,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
BEN,Benin,28154,SIDS,Yes/No,,,,,,,,,,,,0,
BEN,Benin,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
BEN,Benin,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
BEN,Benin,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
BFA,Burkina Faso,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
BFA,Burkina Faso,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
BFA,Burkina Faso,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
BFA,Burkina Faso,28154,SIDS,Yes/No,,,,,,,,,,,,0,
BFA,Burkina Faso,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
BFA,Burkina Faso,28157,Is the country resource rich?,Value,,,,,,,,,,,,1,
