Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Angola,AGO,Average time to clear exports through customs (days),IC.CUS.DURS.EX,..,..,..,..,..,..,..,..,..,..,6.7,..,..,..,..,..,..,..,..,..
Benin,BEN,Average time to clear exports through customs (days),IC.CUS.DURS.EX,..,..,..,..,..,..,..,..,..,7,..,..,..,..,..,..,17.9,..,..,..
Botswana,BWA,Average time to clear exports through customs (days),IC.CUS.DURS.EX,..,..,..,..,..,..,1.3,..,..,..,6.2,..,..,..,..,..,..,..,..,..
Burkina Faso,BFA,Average time to clear exports through customs (days),IC.CUS.DURS.EX,..,..,..,..,..,..,2.8,..,..,7.4,..,..,..,..,..,..,..,..,..,..
Burundi,BDI,Average time to clear exports through customs (days),IC.CUS.DURS.EX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.6,..,..,..,..,..
Cabo Verde,CPV,Average time to clear exports through customs (days),IC.CUS.DURS.EX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cameroon,CMR,Average time to clear exports through customs (days),IC.CUS.DURS.EX,..,..,..,..,..,..,4.3,..,..,15.1,..,..,..,..,..,..,6.7,..,..,..
Central African Republic,CAF,Average time to clear exports through customs (days),IC.CUS.DURS.EX,..,..,..,..,..,..,..,..,..,..,..,9.5,..,..,..,..,..,..,..,..
Chad,TCD,Average time to clear exports through customs (days),IC.CUS.DURS.EX,..,..,..,..,..,..,..,..,..,11.9,..,..,..,..,..,..,..,..,..,..
Comoros,COM,Average time to clear exports through customs (days),IC.CUS.DURS.EX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Congo, Dem. Rep.",COD,Average time to clear exports through customs (days),IC.CUS.DURS.EX,..,..,..,..,..,..,3.6,..,..,..,18,..,..,6.3,..,..,..,..,..,..
"Congo, Rep.",COG,Average time to clear exports through customs (days),IC.CUS.DURS.EX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
