"flight","departure_time","arrival_time","origin","day","month","year","airport"
"AH 1013","20:35","22:50","CDG",17,3,2020,"ALG"
"AZ 802","22:10","00:05","FCO",17,3,2020,"ALG"
"LH 1318","21:55","00:25","FRA",17,3,2020,"ALG"
"AC 9358","21:55","00:25","FRA",17,3,2020,"ALG"
"TK 655","23:15","01:20","ISL",17,3,2020,"ALG"
"AH 5327","21:10","02:05","BKO",17,3,2020,"ALG"
"AH 5323","22:15","03:05","OUA",17,3,2020,"ALG"
"AH 4015","23:15","03:50","NKC",17,3,2020,"ALG"
"AH 6143","02:20","04:10","AZR",17,3,2020,"ALG"
"AH 5325","01:20","05:00","NIM",17,3,2020,"ALG"
"AH 6147","03:25","05:45","TIN",17,3,2020,"ALG"
"AH 6231","03:25","05:55","TMR",17,3,2020,"ALG"
"AH 3019","05:00","06:30","ISL",17,3,2020,"ALG"
"TK 4599","05:00","06:30","ISL",17,3,2020,"ALG"
"AH 6107","07:00","08:00","ORN",17,3,2020,"ALG"
"TO 4800","06:05","08:05","LYS",17,3,2020,"ALG"
"AF 6035","06:05","08:05","LYS",17,3,2020,"ALG"
"AH 6583","07:05","08:05","ORN",17,3,2020,"ALG"
"AH 6223","07:00","08:15","HME",17,3,2020,"ALG"
"AH 6027","07:35","08:25","CZL",17,3,2020,"ALG"
"AH 6219","07:00","08:40","OGX",17,3,2020,"ALG"
"AH 6251","07:50","08:40","ELU",17,3,2020,"ALG"
"AH 6007","07:50","08:50","AAE",17,3,2020,"ALG"
"AH 1025","07:30","09:10","MRS",17,3,2020,"ALG"
"AF 1554","07:00","09:25","CDG",17,3,2020,"ALG"
"KL 2180","07:00","09:25","CDG",17,3,2020,"ALG"
"SU 3111","07:00","09:25","CDG",17,3,2020,"ALG"
"AH 6059","08:40","09:35","GJL",17,3,2020,"ALG"
"AH 1009","07:40","09:50","ORY",17,3,2020,"ALG"
"AH 6201","08:20","09:50","GHA",17,3,2020,"ALG"
"TK 653","07:55","10:00","ISL",17,3,2020,"ALG"
"AH 6191","09:25","10:30","CZL",17,3,2020,"ALG"
"AH 6181","09:05","10:20","ORN",17,3,2020,"ALG"
"AH 2013","09:20","10:40","BCN",17,3,2020,"ALG"
