"flight","departure_time","arrival_time","origin","day","month","year","airport"
"KP 21","08:10","10:10","ACC",17,3,2020,"ROB"
"ET 1006","08:10","10:10","ACC",17,3,2020,"ROB"
"APK 7567","11:00","13:00","ACC",17,3,2020,"ROB"
"VRE 769","14:05","14:50","FNA",17,3,2020,"ROB"
"KQ 505","17:50","19:40","ACC",17,3,2020,"ROB"
"SN 243","21:30","05:10","BRU",17,3,2020,"ROB"
"AC 6374","21:30","05:10","BRU",17,3,2020,"ROB"
"UA 9974","21:30","05:10","BRU",17,3,2020,"ROB"
"AFW 344","14:30","16:30","ACC",18,3,2020,"ROB"
"KQ 502","15:10","16:00","FNA",18,3,2020,"ROB"
"VRE 759","16:10","17:40","ABJ",18,3,2020,"ROB"
"KP 20","16:45","18:20","BJL",18,3,2020,"ROB"
"ET 1005","16:45","18:20","BJL",18,3,2020,"ROB"
"SN 241","21:30","05:10","BRU",18,3,2020,"ROB"
"AC 6374","21:30","05:10","BRU",18,3,2020,"ROB"
"UA 9974","21:30","05:10","BRU",18,3,2020,"ROB"
"W3 303","23:59","02:00","ACC",18,3,2020,"ROB"
"AT 566","03:45","08:50","CMN",18,3,2020,"ROB"
"AA 8020","03:45","08:50","CMN",18,3,2020,"ROB"
"BA 7845","03:45","08:50","CMN",18,3,2020,"ROB"
"QR 4643","03:45","08:50","CMN",18,3,2020,"ROB"
"TK 8309","03:45","08:50","CMN",18,3,2020,"ROB"
"SN 241","21:30","05:10","BRU",19,3,2020,"ROB"
"AC 6374","21:30","05:10","BRU",19,3,2020,"ROB"
"UA 9974","21:30","05:10","BRU",19,3,2020,"ROB"
"W3 303","23:59","02:00","ACC",19,3,2020,"ROB"
"AT 566","03:45","08:50","CMN",19,3,2020,"ROB"
"AA 8020","03:45","08:50","CMN",19,3,2020,"ROB"
"BA 7845","03:45","08:50","CMN",19,3,2020,"ROB"
"QR 4643","03:45","08:50","CMN",19,3,2020,"ROB"
"TK 8309","03:45","08:50","CMN",19,3,2020,"ROB"
"KP 21","08:10","10:10","ACC",19,3,2020,"ROB"
"ET 1006","08:10","10:10","ACC",19,3,2020,"ROB"
"APK 7567","11:00","13:00","ACC",19,3,2020,"ROB"
"KQ 505","17:50","19:40","ACC",19,3,2020,"ROB"
"AFW 324","12:30","13:30","FNA",20,3,2020,"ROB"
"VRE 769","14:05","14:50","FNA",20,3,2020,"ROB"
"KQ 502","15:10","16:00","FNA",20,3,2020,"ROB"
"SN 241","21:30","05:10","BRU",20,3,2020,"ROB"
"AC 6374","21:30","05:10","BRU",20,3,2020,"ROB"
"UA 9974","21:30","05:10","BRU",20,3,2020,"ROB"
"W3 303","23:59","02:00","ACC",20,3,2020,"ROB"
"W3 303","23:59","02:00","ACC",21,3,2020,"ROB"
"APK 7567","11:00","13:00","ACC",21,3,2020,"ROB"
"VRE 769","14:05","14:50","FNA",21,3,2020,"ROB"
"AFW 344","14:30","16:30","ACC",21,3,2020,"ROB"
"KQ 505","17:50","19:40","ACC",21,3,2020,"ROB"
"KP 21","08:10","10:10","ACC",22,3,2020,"ROB"
"ET 1006","08:10","10:10","ACC",22,3,2020,"ROB"
"AFW 324","12:30","13:30","FNA",22,3,2020,"ROB"
"KQ 502","15:10","16:00","FNA",22,3,2020,"ROB"
"VRE 759","16:10","17:40","ABJ",22,3,2020,"ROB"
"SN 241","21:30","05:10","BRU",22,3,2020,"ROB"
"AC 6374","21:30","05:10","BRU",22,3,2020,"ROB"
"UA 9974","21:30","05:10","BRU",22,3,2020,"ROB"
"W3 303","23:59","02:00","ACC",22,3,2020,"ROB"
"APK 7567","11:00","13:00","ACC",23,3,2020,"ROB"
"AFW 344","14:30","16:30","ACC",23,3,2020,"ROB"
"KQ 502","15:10","16:00","FNA",23,3,2020,"ROB"
"KP 20","16:45","18:20","BJL",23,3,2020,"ROB"
"AF 339","23:59","05:35","CDG",17,3,2020,"NIM"
"DL 8666","23:59","05:35","CDG",17,3,2020,"NIM"
"TK 541","00:05","01:05","BKO",17,3,2020,"NIM"
"MS 9685","00:05","01:05","BKO",17,3,2020,"NIM"
"TU 399","01:10","04:55","TUN",17,3,2020,"NIM"
"AH 5325","01:20","05:00","ALG",17,3,2020,"NIM"
"8U 711","01:30","06:00","TIP",17,3,2020,"NIM"
"AT 293","03:10","05:15","NDJ",17,3,2020,"NIM"
"AF 6744","03:20","04:50","LOS",17,3,2020,"NIM"
