"code","wb","wcd","afrobarometer","wvs","region","inc_group"
"ABW","Aruba","Aruba",NA,NA,"Latin America & Caribbean","High income"
"AFG","Afghanistan","Afghanistan",NA,NA,"South Asia","Low income"
"AGO","Angola","Angola",NA,NA,"Sub-Saharan Africa","Lower middle income"
"ALB","Albania","Albania",NA,"Albania","Europe & Central Asia","Upper middle income"
"AND","Andorra","Andorra",NA,"Andorra","Europe & Central Asia","High income"
"ARB","Arab World",NA,NA,NA,NA,NA
"ARE","United Arab Emirates","United Arab Emirates",NA,NA,"Middle East & North Africa","High income"
"ARG","Argentina","Argentina",NA,"Argentina","Latin America & Caribbean","High income"
"ARM","Armenia","Armenia",NA,"Armenia","Europe & Central Asia","Upper middle income"
"ASM","American Samoa","American Samoa",NA,NA,"East Asia & Pacific","Upper middle income"
"ATG","Antigua and Barbuda","Antigua & Barbuda",NA,NA,"Latin America & Caribbean","High income"
"AUS","Australia","Australia",NA,"Australia","East Asia & Pacific","High income"
"AUT","Austria","Austria",NA,NA,"Europe & Central Asia","High income"
"AZE","Azerbaijan","Azerbaijan",NA,"Azerbaijan","Europe & Central Asia","Upper middle income"
"BDI","Burundi","Burundi","Burundi",NA,"Sub-Saharan Africa","Low income"
"BEL","Belgium","Belgium",NA,NA,"Europe & Central Asia","High income"
"BEN","Benin","Benin","Benin",NA,"Sub-Saharan Africa","Low income"
"BFA","Burkina Faso","Burkina Faso","Burkina Faso","Burkina Faso","Sub-Saharan Africa","Low income"
"BGD","Bangladesh","Bangladesh",NA,"Bangladesh","South Asia","Lower middle income"
"BGR","Bulgaria","Bulgaria",NA,"Bulgaria","Europe & Central Asia","Upper middle income"
"BHR","Bahrain","Bahrain",NA,NA,"Middle East & North Africa","High income"
"BHS","Bahamas The","Bahamas","",NA,"Latin America & Caribbean","High income"
"BIH","Bosnia and Herzegovina","Bosnia-Herzegovina",NA,"Bosnia Herzegovina","Europe & Central Asia","Upper middle income"
"BIH","Bosnia and Herzegovina","Bosnia-Herzegovina",NA,"Bosnia","Europe & Central Asia","Upper middle income"
"BLR","Belarus","Belarus",NA,"Belarus","Europe & Central Asia","Upper middle income"
"BLZ","Belize","Belize",NA,NA,"Latin America & Caribbean","Upper middle income"
"BMU","Bermuda","Bermuda",NA,NA,"North America","High income"
"BOL","Bolivia","Bolivia",NA,NA,"Latin America & Caribbean","Lower middle income"
"BRA","Brazil","Brazil",NA,"Brazil","Latin America & Caribbean","Upper middle income"
"BRB","Barbados","Barbados",NA,NA,"Latin America & Caribbean","High income"
"BRN","Brunei Darussalam","Brunei",NA,NA,"East Asia & Pacific","High income"
"BTN","Bhutan","Bhutan",NA,NA,"South Asia","Lower middle income"
"BWA","Botswana","Botswana","Botswana",NA,"Sub-Saharan Africa","Upper middle income"
"CAF","Central African Republic","Central African Republic",NA,NA,"Sub-Saharan Africa","Low income"
"CAN","Canada","Canada",NA,"Canada","North America","High income"
"CEB","Central Europe and the Baltics",NA,NA,NA,NA,NA
"CHE","Switzerland","Switzerland",NA,"Switzerland","Europe & Central Asia","High income"
"CHI","Channel Islands","Channel Islands",NA,NA,"Europe & Central Asia","High income"
"CHL","Chile","Chile",NA,"Chile","Latin America & Caribbean","High income"
"CHN","China","China",NA,"China","East Asia & Pacific","Upper middle income"
"CIV","Côte d'Ivoire","Cote d'Ivoire","Cote d'Ivoire",NA,"Sub-Saharan Africa","Lower middle income"
"CMR","Cameroon","Cameroon","Cameroon",NA,"Sub-Saharan Africa","Lower middle income"
"COD","Congo Dem. Rep.","Congo DR","Congo DR",NA,"Sub-Saharan Africa","Low income"
"COG","Congo Rep.","Congo","Congo",NA,"Sub-Saharan Africa","Lower middle income"
"COL","Colombia","Colombia",NA,"Colombia","Latin America & Caribbean","Upper middle income"
"COM","Comoros","Comoros",NA,NA,"Sub-Saharan Africa","Low income"
"CPV","Cabo Verde","Cabo Verde","Cape Verde",NA,"Sub-Saharan Africa","Lower middle income"
"CRI","Costa Rica","Costa Rica",NA,NA,"Latin America & Caribbean","Upper middle income"
"CSS","Caribbean small states",NA,NA,NA,NA,NA
"CUB","Cuba","Cuba",NA,NA,"Latin America & Caribbean","Upper middle income"
"CUW","Curaçao","Curacao",NA,NA,"Latin America & Caribbean","High income"
"CYM","Cayman Islands","Cayman Islands",NA,NA,"Latin America & Caribbean","High income"
"CYP","Cyprus","Cyprus",NA,"Cyprus","Europe & Central Asia","High income"
"CZE","Czech Republic","Czech Republic",NA,NA,"Europe & Central Asia","High income"
"DEU","Germany","Germany",NA,"Germany","Europe & Central Asia","High income"
"DJI","Djibouti","Djibouti",NA,NA,"Middle East & North Africa","Lower middle income"
"DMA","Dominica","Dominica",NA,NA,"Latin America & Caribbean","Upper middle income"
"DNK","Denmark","Denmark",NA,NA,"Europe & Central Asia","High income"
"DOM","Dominican Republic","Dominican Republic",NA,"Dominican Rep.","Latin America & Caribbean","Upper middle income"
"DZA","Algeria","Algeria","Algeria","Algeria","Middle East & North Africa","Upper middle income"
"EAP","East Asia & Pacific (excluding high income)",NA,NA,NA,NA,NA
"EAR","Early-demographic dividend",NA,NA,NA,NA,NA
"EAS","East Asia & Pacific",NA,NA,NA,NA,NA
"ECA","Europe & Central Asia (excluding high income)",NA,NA,NA,NA,NA
"ECS","Europe & Central Asia",NA,NA,NA,NA,NA
