Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,..,..,..,..
Afghanistan,AFG,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,0.1957,..,..,..,..,0.163,0.1774,0.1771,0.2156,0.2396,0.2553,0.245,0.2894,0.3039,0.2907,0.284,..,..,..
Albania,ALB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,3.3,3.3,3.1,3.1,3,3.1,3.1,3.1,..,2.8,3,2.6,2.9,2.9,..,..,..,..,..,..
Albania,ALB,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,1.389,..,1.305,..,..,..,..,1.146,..,1.144,1.2379,1.2225,1.2658,1.2706,..,..,1.1998,..,..,..
Algeria,DZA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,1.7,..,..,..,..,..,..,..,..,..,..,1.9,..,..,..,..
Algeria,DZA,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,..,1.1054,..,..,1.0199,..,1.1912,..,..,1.207,..,..,..,..,..,1.83,..,..,..
American Samoa,ASM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,3.2000000477,2.5899999142,..,3.2999999523,..,2.7,2.6,2.6,..,2.5,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,2.549,2.594,..,3.3333,..,..,3.64,3.716,..,3.112,4,..,..,..,..,3.3333,..,..,..,..
Angola,AGO,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..,0.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,..,..,..,0.0618,..,..,..,..,0.1311,..,..,..,..,..,..,..,0.2149,..,..
Antigua and Barbuda,ATG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,2.6,2.3,2.5,2.4,2.4,2.4,2,1.7,2.2,2.2,2.1,..,3.9,3.8,..,..,..,..,..
Antigua and Barbuda,ATG,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,..,..,..,..,..,..,1.5755,..,..,..,..,..,..,..,..,..,2.7647,..,..
Argentina,ARG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,4.1,..,..,..,..,4,..,..,..,..,4.5,4.5,4.7,4.9,5,..,..,..,..,..
Argentina,ARG,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,3.2311,..,..,3.1662,3.21,..,..,..,..,3.21,..,..,3.9066,..,..,..,3.96,..,..
Armenia,ARM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,6.4,5,4.3,4.4,4.4,4.5,4.4,4.1,3.8,3.7,3.7,3.7,4,4.1,..,4.2,..,..,..,..
Armenia,ARM,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,2.987,3.526,..,3.588,..,..,3.7,3.697,..,2.677,2.8419,2.8686,2.8991,2.9072,2.899,..,..,..,..,..
Aruba,ABW,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,7.8000001907,7.5999999046,4,..,3.9,4,3.97,..,..,3.8,3.9,3.8,..,..,3.8,..,..,..,..,..
Australia,AUS,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,2.5,2.4846,2.5,..,..,..,2.6765,..,..,2.8888,3.3481,3.2963,3.2976,3.3882,3.462,3.5213,3.5874,..,..,..
Austria,AUT,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,7.9,7.8,7.8,7.7,7.7,7.7,7.7,7.8,7.7,7.7,7.7,7.7,7.7,7.6,..,..,..,..,..,..
Austria,AUT,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,3.2,3.3,3.3,3.378,..,..,3.66,3.794,..,..,4.7688,4.8031,4.845,4.9316,4.9954,5.0701,5.1441,..,..,..
Azerbaijan,AZE,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,8.7,8.5,8.4,8.3,8.2,8.2,7.9,7.9,7.7,7.5,5.1,4.6,4.6,4.7,..,..,..,..,..,..
Azerbaijan,AZE,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,3.607,3.536,..,3.547,..,..,3.63,3.794,..,3.782,3.6629,3.4375,3.4901,3.4558,3.4466,..,..,..,..,..
"Bahamas, The",BHS,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,3.5,3.4,3.4000000954,3.4,3.4,..,3.2,3.2,3.1,3.2,3.1,2.9,2.9,2.9,..,..,..,..,..,..
"Bahamas, The",BHS,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,..,..,..,..,..,..,..,2.7158,..,..,2.264,..,..,..,..,..,1.9373,..,..
Bahrain,BHR,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,2.8,2.8,2.9,2.8,2.8,2.8,2.7,2.7,2,1.8,1.8,1.7,2.1,2.1,2,..,..,..,..,..
Bahrain,BHR,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,1.0202,1.0636,1.0774,1.0479,0.9677,1.0436,1.0142,1.0155,0.9896,0.9696,0.9493,0.945,0.9568,0.9533,0.957,0.9257,..,..,..,..
Bangladesh,BGD,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,0.3,0.34,..,..,0.3,..,..,..,..,..,0.6,..,..,0.6,0.8,..,..,..,..
Bangladesh,BGD,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,0.2423,..,0.2631,0.2723,0.299,0.307,0.3193,0.3317,0.3438,0.3526,0.3724,0.3879,0.4089,0.4737,0.4709,0.4822,0.5268,..,..
Barbados,BRB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,7.3,7.3,6.7,6.6,..,7.6,6.8,6.6,..,6.2,6.2,5.8,..,..,..,..,..
Barbados,BRB,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,1.3529,1.5515,..,..,..,1.7847,..,..,..,..,1.811,..,..,..,..,..,..,2.4886,..,..
Belarus,BLR,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,12.6,12.6,11.9,11.3,10.7,11.1,11.2,11.2,11.1,11.1,11.5,11.3,11.3,11,..,..,..,..,..,..
Belarus,BLR,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,4.579,4.497,4.526,4.55,4.622,4.68,4.78,4.869,4.98,3.702,3.5179,3.7953,3.8809,3.9331,4.0772,..,..,..,..,..
Belgium,BEL,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,7.8,7.7,7.6,7.5,7.5,7.4,6.7,6.6,6.6,6.5,6.5,6.4,6.3,6.3,6.2,..,..,..,..,..
Belgium,BEL,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,3.9,3.9,3.9,..,..,2.0479,2.0957,..,..,..,2.9085,2.9222,2.9397,2.9592,2.9729,3.0138,3.3234,..,..,..
Belize,BLZ,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.9,..,..,1.2999999523,1.3,1.2,1.3,1.2,1.2,1.1,1.2,1.1,1.1,0.9,1.3,..,..,..,..,..
Belize,BLZ,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,1.015,..,..,..,..,..,..,..,..,0.7678,0.828,..,1.1494,..,..,..,..,1.1262,..,..
Benin,BEN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..,0.5,..,..,..,..,0.5,..,..,..,..,..,..,..,..,..
Benin,BEN,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,..,..,..,0.0401,..,..,..,0.0623,..,0.059,..,0.1646,0.1506,..,..,0.1572,..,..,..
Bermuda,BMU,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,1.6,1.6,..,..,..,1.7,..,..,..,..,1.8,1.7,..,..,..,..,..,..,..
Bhutan,BTN,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,..,..,..,0.1843,..,..,0.2096,0.2439,..,0.023,..,0.2576,0.2654,0.3142,0.3188,0.3748,0.3715,..,..
Bolivia,BOL,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,1,1,..,1.1,1.1,1.1,1.1,..,1.1,1.1,1.1,1.1,..,..,..,..,..
Bolivia,BOL,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,1.2157,..,..,..,..,..,0.3358,..,..,0.4442,0.4734,..,..,..,..,1.6111,..,..,..
Bosnia and Herzegovina,BIH,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,3.4,3.2,3.2,3.2,3.1,3,3.3,3.4,3.4,3.3,3.4,3.5,3.5,3.5,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,1.422,1.338,..,1.34,..,1.418,..,..,..,1.65,1.7907,1.8653,1.9259,2.0003,..,..,..,..,..,..
Botswana,BWA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,2.2,..,..,..,2.4,1.8,..,1.8,..,..,..,..,..,..,..,..,..
Botswana,BWA,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,0.2887,0.2906,0.3011,0.2915,0.3909,0.2511,0.3137,0.3704,0.3679,0.35,0.4065,0.3993,0.392,..,..,..,0.3688,..,..,..
