"ccode.year","country","country.series","unit","series","ccode","year","value","country.year","population"
"AGO.1980","Angola","Angola","Billion Kwh","consumption","AGO","1980",0.736,"Angola.1980",NA
"AGO.1980","Angola","Angola","Million Kw","capacity","AGO","1980",0.6,"Angola.1980",NA
"AGO.1980","Angola","Angola","Billion Kwh","net imports","AGO","1980",0,"Angola.1980",NA
"AGO.1980","Angola","Angola","Billion Kwh","generation","AGO","1980",0.905,"Angola.1980",NA
"AGO.1980","Angola","Angola","Billion Kwh","distribution losses","AGO","1980",0.169,"Angola.1980",NA
"AGO.1980","Angola","Angola","Billion Kwh","exports","AGO","1980",0,"Angola.1980",NA
"AGO.1980","Angola","Angola","Billion Kwh","imports","AGO","1980",0,"Angola.1980",NA
"AGO.1981","Angola","Angola","Billion Kwh","consumption","AGO","1981",0.737,"Angola.1981",NA
"AGO.1981","Angola","Angola","Million Kw","capacity","AGO","1981",0.6,"Angola.1981",NA
"AGO.1981","Angola","Angola","Billion Kwh","net imports","AGO","1981",0,"Angola.1981",NA
"AGO.1981","Angola","Angola","Billion Kwh","generation","AGO","1981",0.906,"Angola.1981",NA
"AGO.1981","Angola","Angola","Billion Kwh","distribution losses","AGO","1981",0.169,"Angola.1981",NA
"AGO.1981","Angola","Angola","Billion Kwh","exports","AGO","1981",0,"Angola.1981",NA
"AGO.1981","Angola","Angola","Billion Kwh","imports","AGO","1981",0,"Angola.1981",NA
"AGO.1982","Angola","Angola","Billion Kwh","consumption","AGO","1982",0.815,"Angola.1982",NA
"AGO.1982","Angola","Angola","Million Kw","capacity","AGO","1982",0.6,"Angola.1982",NA
"AGO.1982","Angola","Angola","Billion Kwh","net imports","AGO","1982",0,"Angola.1982",NA
"AGO.1982","Angola","Angola","Billion Kwh","generation","AGO","1982",0.995,"Angola.1982",NA
"AGO.1982","Angola","Angola","Billion Kwh","distribution losses","AGO","1982",0.18,"Angola.1982",NA
"AGO.1982","Angola","Angola","Billion Kwh","exports","AGO","1982",0,"Angola.1982",NA
"AGO.1982","Angola","Angola","Billion Kwh","imports","AGO","1982",0,"Angola.1982",NA
"AGO.1983","Angola","Angola","Billion Kwh","consumption","AGO","1983",0.832,"Angola.1983",NA
