"country","ccode","electricity.source","year","value","series","unit","country.year","ccode.year"
"Angola","AGO","Coal","1999",0,"electricity source","percent","Angola.1999","AGO.1999"
"Angola","AGO","Coal","2000",0,"electricity source","percent","Angola.2000","AGO.2000"
"Angola","AGO","Coal","2001",0,"electricity source","percent","Angola.2001","AGO.2001"
"Angola","AGO","Coal","2002",0,"electricity source","percent","Angola.2002","AGO.2002"
"Angola","AGO","Coal","2003",0,"electricity source","percent","Angola.2003","AGO.2003"
"Angola","AGO","Coal","2004",0,"electricity source","percent","Angola.2004","AGO.2004"
"Angola","AGO","Coal","2005",0,"electricity source","percent","Angola.2005","AGO.2005"
"Angola","AGO","Coal","2006",0,"electricity source","percent","Angola.2006","AGO.2006"
"Angola","AGO","Coal","2007",0,"electricity source","percent","Angola.2007","AGO.2007"
"Angola","AGO","Coal","2008",0,"electricity source","percent","Angola.2008","AGO.2008"
"Angola","AGO","Coal","2009",0,"electricity source","percent","Angola.2009","AGO.2009"
"Angola","AGO","Coal","2010",0,"electricity source","percent","Angola.2010","AGO.2010"
"Angola","AGO","Coal","2011",0,"electricity source","percent","Angola.2011","AGO.2011"
"Angola","AGO","Coal","2012",0,"electricity source","percent","Angola.2012","AGO.2012"
"Angola","AGO","Coal","2013",0,"electricity source","percent","Angola.2013","AGO.2013"
"Angola","AGO","Coal","2014",0,"electricity source","percent","Angola.2014","AGO.2014"
"Angola","AGO","Coal","2015",0,"electricity source","percent","Angola.2015","AGO.2015"
"Angola","AGO","Coal","2016",NA,"electricity source","percent","Angola.2016","AGO.2016"
"Angola","AGO","Coal","2017",NA,"electricity source","percent","Angola.2017","AGO.2017"
"Angola","AGO","Coal","2018",NA,"electricity source","percent","Angola.2018","AGO.2018"
"Angola","AGO","Hydro","1999",0.669662921348315,"electricity source","percent","Angola.1999","AGO.1999"
"Angola","AGO","Hydro","2000",0.631141868512111,"electricity source","percent","Angola.2000","AGO.2000"
"Angola","AGO","Hydro","2001",0.620879120879121,"electricity source","percent","Angola.2001","AGO.2001"
"Angola","AGO","Hydro","2002",0.647592067988669,"electricity source","percent","Angola.2002","AGO.2002"
"Angola","AGO","Hydro","2003",0.622055137844612,"electricity source","percent","Angola.2003","AGO.2003"
"Angola","AGO","Hydro","2004",0.78405017921147,"electricity source","percent","Angola.2004","AGO.2004"
"Angola","AGO","Hydro","2005",0.796482412060302,"electricity source","percent","Angola.2005","AGO.2005"
"Angola","AGO","Hydro","2006",0.806110102843315,"electricity source","percent","Angola.2006","AGO.2006"
"Angola","AGO","Hydro","2007",0.776188995958968,"electricity source","percent","Angola.2007","AGO.2007"
"Angola","AGO","Hydro","2008",0.754090471607315,"electricity source","percent","Angola.2008","AGO.2008"
"Angola","AGO","Hydro","2009",0.653431890179514,"electricity source","percent","Angola.2009","AGO.2009"
"Angola","AGO","Hydro","2010",0.679574233804368,"electricity source","percent","Angola.2010","AGO.2010"
"Angola","AGO","Hydro","2011",0.709078039285082,"electricity source","percent","Angola.2011","AGO.2011"
"Angola","AGO","Hydro","2012",0.607994842037395,"electricity source","percent","Angola.2012","AGO.2012"
"Angola","AGO","Hydro","2013",0.580209347614411,"electricity source","percent","Angola.2013","AGO.2013"
"Angola","AGO","Hydro","2014",0.531751054852321,"electricity source","percent","Angola.2014","AGO.2014"
"Angola","AGO","Hydro","2015",0.531749283080705,"electricity source","percent","Angola.2015","AGO.2015"
