"country","project_code_in","component_code_in","section_code_in","cost_type","year","work_type","duration","length_km","cost_M_USD_per_km","rocks_wave","ccode","wb_region","inc_group","proj.component.section","project_country","project_idx","section_idx","section_code"
"Afghanistan","P078284","C1","S1","Estimate","2003","Strengthening",6,175,0.256571428571429,"rocks_2018","AFG","South Asia","Low income","P078284 C1 S1","Afghanistan P078284",1013,2100,"10132100"
"Afghanistan","P078284","C1","S1","Actual","2008","Strengthening",30,175,0.3848,"rocks_2018","AFG","South Asia","Low income","P078284 C1 S1","Afghanistan P078284",1013,2100,"10132100"
"Afghanistan","P107101","C1","S1","Actual","2012","Strengthening",33,3.14,1.05509554140127,"rocks_2018","AFG","South Asia","Low income","P107101 C1 S1","Afghanistan P107101",1015,2318,"10152318"
"Afghanistan","P107101","C1","S1","Estimate","2010","Strengthening",4,3.14,1.05732484076433,"rocks_2018","AFG","South Asia","Low income","P107101 C1 S1","Afghanistan P107101",1015,2318,"10152318"
"Albania","P078949","C1","S1","Actual","2011","New 4L Expressway",49,9,1.60888888888889,"rocks_2018","ALB","Europe & Central Asia","Upper middle income","P078949 C1 S1","Albania P078949",1073,2111,"10732111"
"Albania","P068853","C1","S1","Estimate","1999","Bituminous Pavement Preventive Treatment",15,22,0.0331818181818182,"rocks_2018","ALB","Europe & Central Asia","Upper middle income","P068853 C1 S1","Albania P068853",1072,1984,"10721984"
"Albania","P107833","C1","S1","Actual","2013","Reconstruction",12,10.9,0.164220183486239,"rocks_2018","ALB","Europe & Central Asia","Upper middle income","P107833 C1 S1","Albania P107833",1074,2326,"10742326"
"Albania","P107833","C1","S1","Estimate","2008","Reconstruction",5,10.9,0.222018348623853,"rocks_2018","ALB","Europe & Central Asia","Upper middle income","P107833 C1 S1","Albania P107833",1074,2326,"10742326"
"Albania","P078949","C1","S1","Estimate","2007","New 2L Highway",22,9,1.36888888888889,"rocks_2018","ALB","Europe & Central Asia","Upper middle income","P078949 C1 S1","Albania P078949",1073,2111,"10732111"
"Albania","P068853","C1","S1","Actual","2004","Routine Maintenance",NA,12.3,0.0812926829268293,"rocks_2018","ALB","Europe & Central Asia","Upper middle income","P068853 C1 S1","Albania P068853",1072,1984,"10721984"
"Angola","P095229","C1","S1","Estimate","2014","Reconstruction",NA,600,0.0216666666666667,"rocks_2018","AGO","Sub-Saharan Africa","Lower middle income","P095229 C1 S1","Angola P095229",1092,2282,"10922282"
"Angola","P095229","C1","S1","Actual","2014","Reconstruction",NA,200,0.1,"rocks_2018","AGO","Sub-Saharan Africa","Lower middle income","P095229 C1 S1","Angola P095229",1092,2282,"10922282"
"Armenia","P044829","C1","S1","Estimate","2000","Surface Treatment Resurfacing",15,18.7,0.0636363636363636,"rocks_2018","ARM","Europe & Central Asia","Upper middle income","P044829 C1 S1","Armenia P044829",1253,1841,"12531841"
"Armenia","P044829","C1","S1","Actual","2005","Surface Treatment Resurfacing",NA,18.7,0.0641711229946524,"rocks_2018","ARM","Europe & Central Asia","Upper middle income","P044829 C1 S1","Armenia P044829",1253,1841,"12531841"
"Azerbaijan","P040716","C1","S1","Estimate","2001","Reconstruction",NA,21.3,0.423004694835681,"rocks_2018","AZE","Europe & Central Asia","Upper middle income","P040716 C1 S1","Azerbaijan P040716",1275,1827,"12751827"
"Azerbaijan","P040716","C1","S1","Actual","2009","Reconstruction",NA,21.3,0.352112676056338,"rocks_2018","AZE","Europe & Central Asia","Upper middle income","P040716 C1 S1","Azerbaijan P040716",1275,1827,"12751827"
"Azerbaijan","P094488","C1","S1","Actual","2005","Widening",NA,31,2.75161290322581,"rocks_2018","AZE","Europe & Central Asia","Upper middle income","P094488 C1 S1","Azerbaijan P094488",1276,2275,"12762275"
"Azerbaijan","P094488","C1","S1","Estimate","2005","Widening",NA,80,1.53375,"rocks_2018","AZE","Europe & Central Asia","Upper middle income","P094488 C1 S1","Azerbaijan P094488",1276,2275,"12762275"
"Belarus","P118375","C1","S1","Actual","2016","Widening and Reconstruction",24,17.42,2.07462686567164,"rocks_2018","BLR","Europe & Central Asia","Upper middle income","P118375 C1 S1","Belarus P118375",1473,2359,"14732359"
"Belarus","P118375","C1","S1","Estimate","2010","Widening and Reconstruction",31,17.42,2.47416762342135,"rocks_2018","BLR","Europe & Central Asia","Upper middle income","P118375 C1 S1","Belarus P118375",1473,2359,"14732359"
"Belize","P040150","C1","S1","Actual","2006","Upgrading",NA,20,0.434,"rocks_2018","BLZ","Latin America & Caribbean","Upper middle income","P040150 C1 S1","Belize P040150",1477,1821,"14771821"
"Belize","P040150","C1","S1","Estimate","2000","Upgrading",NA,20,0.34,"rocks_2018","BLZ","Latin America & Caribbean","Upper middle income","P040150 C1 S1","Belize P040150",1477,1821,"14771821"
"Bhutan","P100332","C1","S1","Estimate","2007","New 1L Road",10,13.7,0.145985401459854,"rocks_2018","BTN","South Asia","Lower middle income","P100332 C1 S1","Bhutan P100332",1487,2310,"14872310"
"Bhutan","P100332","C1","S1","Actual","2013","New 1L Road",NA,11.83,0.140321217244294,"rocks_2018","BTN","South Asia","Lower middle income","P100332 C1 S1","Bhutan P100332",1487,2310,"14872310"
"Bulgaria","P099894","C1","S1","Estimate","2007","Strengthening",15,37.14,0.270974690360797,"rocks_2018","BGR","Europe & Central Asia","Upper middle income","P099894 C1 S1","Bulgaria P099894",1706,2302,"17062302"
"Bulgaria","P099894","C1","S1","Actual","2013","Strengthening",NA,36.6,0.325136612021858,"rocks_2018","BGR","Europe & Central Asia","Upper middle income","P099894 C1 S1","Bulgaria P099894",1706,2302,"17062302"
"Cambodia","P071207","C1","S1","Actual","2012","Upgrading",NA,19.8,0.0813131313131313,"rocks_2018","KHM","East Asia & Pacific","Lower middle income","P071207 C1 S1","Cambodia P071207",1757,2025,"17572025"
"Cambodia","P071207","C1","S1","Estimate","2003","Upgrading",12,21.8,0.081651376146789,"rocks_2018","KHM","East Asia & Pacific","Lower middle income","P071207 C1 S1","Cambodia P071207",1757,2025,"17572025"
